client,mean_total_gbps,std_total_gbps,mean_retransmits,mean_host_cpu,n_reps
srv01,168.68855978942744,1.2726292013572238,1.3333333333333333,35.59326911263943,3
srv02,168.69762944896303,7.951775628646782,0.0,32.802604471098526,3
srv03,191.65038073265032,7.083521947426724,18.333333333333332,49.01578674009226,3
