client,server,mean_gbps,std_gbps,total_retransmits,mean_cv_pct,mean_host_cpu,mean_remote_cpu,mean_stream_cv_pct,n_reps
srv01,st01,101.05196760387737,4.498970408608768,0,5.222813372211493,206.94855726795893,288.1140587765735,10.838275777944885,3
srv01,st02,85.83577705496685,1.0920009318128552,4,7.931347221188098,199.59544566303148,241.63237832469483,19.909902625741278,3
srv01,st03,96.23549054904952,8.803394188689497,1,4.589135600696493,193.09934913875136,270.22576321593516,19.52563486246743,3
srv01,st04,97.1382988484453,8.572625708676476,0,4.560579838647718,200.0867241142715,269.4663136504007,16.98385970478186,3
srv01,st05,88.22213738509997,11.0789341009454,0,6.304331369872646,168.39951203041733,247.07760873696157,26.36687755671944,3
srv01,st06,97.41118282748789,4.960120688918991,0,3.957907642616323,200.49126379103657,278.39035116646204,24.43975484292784,3
srv01,st07,93.18097666651589,6.645162250156457,0,4.677933838930721,192.7911013385307,267.83597644425487,12.013720128878377,3
srv01,st08,100.27823524226567,0.8711163259886198,0,6.7656054998776405,213.75353627186746,273.80228164106916,14.322170992484653,3
srv02,st01,109.93432911787129,2.5314552060523448,0,4.4780233774127325,250.696540828176,302.8801218136245,8.139347834671845,3
srv02,st02,103.22248922816324,3.3074288598074926,4,3.7716023211658545,219.6118597406181,291.7533584086902,14.088736981373353,3
srv02,st03,108.7312543110753,3.1052857024906713,0,3.142584555074506,234.282867425383,297.84628217216596,12.004368124800232,3
srv02,st04,105.03112133691526,6.66919294600015,0,3.2274355050894705,213.09993606439505,294.46706888137675,14.330369654312648,3
srv02,st05,104.83319360311727,5.362308430276354,0,3.174678935794944,221.87578987075585,290.7057839457448,16.541063787354044,3
srv02,st06,96.47418421474849,9.832070862539581,0,2.8679374099310824,190.28341738636706,266.29350224664296,24.12534498557224,3
srv02,st07,109.22601993521737,4.075580583568736,0,4.781679863847447,231.95887848906207,299.88951159420543,6.718144151127987,3
srv02,st08,106.69994965747473,6.678399173920588,0,4.005833949464065,223.0824739257233,295.3114678980257,8.774499560521408,3
srv03,st01,105.16910414084087,2.837958912979249,6,8.037429039675205,261.7372891028161,295.4051301906323,10.520147452709098,3
srv03,st02,111.84455781414262,1.9561342297857436,15,5.262652952514191,284.95819616822723,303.12451736977897,7.5058809476613,3
srv03,st03,97.5613931221272,6.932245936864716,7,3.078576061689487,238.1185518711833,273.6795927791856,11.304735376686095,3
srv03,st04,107.6999212822807,4.083298891384235,4,6.204527414928478,272.61541814560684,310.3788454114345,6.421934667940104,3
srv03,st05,106.19915668889564,3.6150014012707636,11,4.367987316338,272.7483462243967,308.25746287329224,5.825885017523203,3
srv03,st06,111.07632731732254,2.542479760054667,0,5.449497603981848,270.36090947534257,325.46244488918126,10.599497448359818,3
srv03,st07,104.2274299139787,3.1713600182318893,3,7.743486734080009,258.3358875688081,300.8340248327103,6.354023162807809,3
srv03,st08,110.67027517167655,3.0235086448105704,1,4.490647308515,272.7560892611973,304.2475541523017,8.96652748175572,3
