mode,rep,client,server,stream_idx,gbps
per-pair,3,srv01,st05,4,15.25443291711418
per-pair,3,srv01,st05,5,12.825301553062536
per-pair,3,srv01,st05,6,9.90915554279273
per-pair,3,srv01,st05,7,13.80195225742791
per-pair,3,srv01,st05,8,9.897402879310835
per-pair,1,srv01,st06,1,12.94711876478288
per-pair,1,srv01,st06,2,10.72304648397207
per-pair,1,srv01,st06,3,13.106717555530569
per-pair,1,srv01,st06,4,14.502169342139167
per-pair,1,srv01,st06,5,10.818071770004433
per-pair,1,srv01,st06,6,12.984866740475736
per-pair,1,srv01,st06,7,13.051974252818592
per-pair,1,srv01,st06,8,13.684209155887253
per-pair,2,srv01,st06,1,13.423153582068727
per-pair,2,srv01,st06,2,13.768132395233984
per-pair,2,srv01,st06,3,13.822221018676053
per-pair,2,srv01,st06,4,14.518426361607714
per-pair,2,srv01,st06,5,13.074242639574077
per-pair,2,srv01,st06,6,11.60266508321235
per-pair,2,srv01,st06,7,15.330367377801121
per-pair,2,srv01,st06,8,11.69148751573071
per-pair,3,srv01,st06,1,14.628097712911817
per-pair,3,srv01,st06,2,16.98557131621815
per-pair,3,srv01,st06,3,13.228791488432211
per-pair,3,srv01,st06,4,14.034130930040574
per-pair,3,srv01,st06,5,12.425680241448816
per-pair,3,srv01,st06,6,13.307783172391844
per-pair,3,srv01,st06,7,13.065914830356153
per-pair,3,srv01,st06,8,14.833222688680888
per-pair,1,srv01,st07,1,14.617909394780664
per-pair,1,srv01,st07,2,12.01769516439657
per-pair,1,srv01,st07,3,13.351159644368895
per-pair,1,srv01,st07,4,11.993884078862514
per-pair,1,srv01,st07,5,9.157044455354663
per-pair,1,srv01,st07,6,14.678376445017607
per-pair,1,srv01,st07,7,9.054809702786425
per-pair,1,srv01,st07,8,13.3963351717858
per-pair,2,srv01,st07,1,9.939459643871587
per-pair,2,srv01,st07,2,15.708653209794754
per-pair,2,srv01,st07,3,13.346677696640914
per-pair,2,srv01,st07,4,11.213026774359442
per-pair,2,srv01,st07,5,10.186745748796499
per-pair,2,srv01,st07,6,14.566025382568377
per-pair,2,srv01,st07,7,13.757146416741545
per-pair,2,srv01,st07,8,13.485044321075048
per-pair,3,srv01,st07,1,11.419183546413377
per-pair,3,srv01,st07,2,10.69931195780171
per-pair,3,srv01,st07,3,12.5662848786265
per-pair,3,srv01,st07,4,12.892070167841004
per-pair,3,srv01,st07,5,12.444039483314608
per-pair,3,srv01,st07,6,13.281363643840843
per-pair,3,srv01,st07,7,11.114806492975438
per-pair,3,srv01,st07,8,10.939040508222135
per-pair,1,srv01,st08,1,13.795171297930894
per-pair,1,srv01,st08,2,14.348593822582709
per-pair,1,srv01,st08,3,14.53143834378899
per-pair,1,srv01,st08,4,14.730321628133819
per-pair,1,srv01,st08,5,14.553462698183274
per-pair,1,srv01,st08,6,14.035883816350491
per-pair,1,srv01,st08,7,9.883290317266155
per-pair,1,srv01,st08,8,10.976744244526838
per-pair,2,srv01,st08,1,13.931193361449287
per-pair,2,srv01,st08,2,11.739349476416209
per-pair,2,srv01,st08,3,13.450864632537359
per-pair,2,srv01,st08,4,13.93642306390979
per-pair,2,srv01,st08,5,11.354911732970525
per-pair,2,srv01,st08,6,15.025018180172141
per-pair,2,srv01,st08,7,11.11427551566098
per-pair,2,srv01,st08,8,10.945544430427411
per-pair,3,srv01,st08,1,14.486967854914555
per-pair,3,srv01,st08,2,13.667342368363
per-pair,3,srv01,st08,3,13.41804689787989
per-pair,3,srv01,st08,4,13.157260942164205
per-pair,3,srv01,st08,5,13.178931210891795
per-pair,3,srv01,st08,6,13.604472375018242
per-pair,3,srv01,st08,7,12.63153847523058
per-pair,3,srv01,st08,8,14.462894633001447
per-pair,1,srv02,st01,1,14.803174145016307
per-pair,1,srv02,st01,2,13.404954836705832
per-pair,1,srv02,st01,3,12.835240029126636
per-pair,1,srv02,st01,4,13.03962241471667
per-pair,1,srv02,st01,5,13.145745718393067
per-pair,1,srv02,st01,6,14.980031754436668
per-pair,1,srv02,st01,7,14.362235968802358
per-pair,1,srv02,st01,8,14.016140307047332
per-pair,2,srv02,st01,1,13.267532457499644
per-pair,2,srv02,st01,2,13.364913820800789
per-pair,2,srv02,st01,3,14.969790494559538
per-pair,2,srv02,st01,4,11.203584072694897
per-pair,2,srv02,st01,5,13.578952718379101
per-pair,2,srv02,st01,6,13.154326458823352
per-pair,2,srv02,st01,7,13.298766670171362
per-pair,2,srv02,st01,8,13.983131906273968
per-pair,3,srv02,st01,1,13.082243747156427
per-pair,3,srv02,st01,2,13.285928136378796
per-pair,3,srv02,st01,3,13.183649038315826
per-pair,3,srv02,st01,4,15.9061255174264
per-pair,3,srv02,st01,5,12.975333472504532
per-pair,3,srv02,st01,6,13.06026750353162
per-pair,3,srv02,st01,7,14.294344993444756
per-pair,3,srv02,st01,8,14.82457102253156
per-pair,1,srv02,st02,1,13.141580278565318
per-pair,1,srv02,st02,2,12.43637617096031
per-pair,1,srv02,st02,3,13.123099194021275
per-pair,1,srv02,st02,4,14.55317687557107
per-pair,1,srv02,st02,5,14.829126119023
per-pair,1,srv02,st02,6,13.241107253958523
per-pair,1,srv02,st02,7,13.996210289832442
per-pair,1,srv02,st02,8,12.823338624147354
per-pair,2,srv02,st02,1,15.867757558338608
per-pair,2,srv02,st02,2,15.463064834577912
per-pair,2,srv02,st02,3,15.102748152567413
per-pair,2,srv02,st02,4,13.619910287649065
per-pair,2,srv02,st02,5,13.973275873624852
per-pair,2,srv02,st02,6,13.062337141231783
per-pair,2,srv02,st02,7,12.682137091494088
per-pair,2,srv02,st02,8,14.673890430586734
per-pair,3,srv02,st02,1,15.214651610219965
per-pair,3,srv02,st02,2,15.260002227818873
per-pair,3,srv02,st02,3,15.119493955951736
per-pair,3,srv02,st02,4,12.662215742449472
per-pair,3,srv02,st02,5,14.549465528386278
per-pair,3,srv02,st02,6,15.133125355461235
