client,server,mean_gbps,std_gbps,total_retransmits,mean_cv_pct,mean_host_cpu,mean_remote_cpu,mean_stream_cv_pct,n_reps
st01,st05,91.90824115030496,3.5314401186939883,0,2.4178414842835427,53.43484714783717,276.5696915850968,20.66624237008448,3
st01,st06,87.02838139673163,8.958117193217738,0,3.1384409765771983,49.163436847487105,253.05336989431052,30.76947093856636,3
st01,st07,91.42760578285618,7.585601039810613,0,2.6348547441287606,52.601892920109265,262.33700545028586,23.40729880612513,3
st01,st08,88.93407733217636,2.7657493180325354,1,3.047139488873915,50.47685983664263,259.91693692803983,22.613200228784255,3
st02,st05,86.9363084670574,9.350537626174093,6,2.574474921535588,46.978321669971905,257.06091193129345,26.582685116753794,3
st02,st06,89.60083943167113,2.521847490722148,28,2.2482926235660106,49.05234849827344,264.18687812650916,18.675692726639607,3
st02,st07,84.06876751955747,6.665314197891301,127,2.5595792662814243,49.33723726173064,243.15635551770666,25.38345213300696,3
st02,st08,91.2903562641596,3.4055396811838503,50,3.001503630799776,53.84859313070382,266.3416820673286,23.66329056202157,3
st03,st05,79.2334343492592,14.109470268778631,3,3.193471045284474,51.965061454397066,242.44411314955389,18.645734114608594,3
st03,st06,83.01157563120387,8.056198214094342,24,2.48328732662565,58.52289893132386,251.85809590122759,27.75360022392192,3
st03,st07,81.00983246140588,11.551570826358692,166,2.8501493360186956,60.638076846174556,247.0696455203969,30.580912834595548,3
st03,st08,76.55841973327416,10.238618974641515,49,2.5196448760213435,55.381470922628175,228.54611139880035,25.257036393214822,3
st04,st05,94.20590310499445,4.723687541296129,0,2.9334366784698864,68.62839792444811,282.923141301363,17.271920212896198,3
st04,st06,83.65593391569293,6.201041241385948,11,2.3361403458983823,57.46385505604665,250.0445757062765,19.420991856767078,3
st04,st07,82.73362696275906,0.8403123271200574,95,3.183535034512355,58.7852470281887,249.30083170256694,17.531983559444907,3
st04,st08,86.95167653168119,1.8166448539557951,38,2.8001407147352553,59.36052522277428,259.5395029822059,17.186601672424473,3
