client,server,mean_gbps,std_gbps,total_retransmits,mean_cv_pct,mean_host_cpu,mean_remote_cpu,mean_stream_cv_pct,n_reps
srv01,st01,18.0918752580658,6.174508393437346,4,12.65442872189128,27.892236599211827,48.37524508076586,68.83630267580509,3
srv01,st02,22.296630042126424,4.422113871257718,0,17.261904252825307,36.41790454669572,56.627200282398825,86.37263295014003,3
srv01,st03,20.102570987518124,3.4401334736643734,3,19.116239402376593,32.36589528561023,50.67352556913335,84.7491918108354,3
srv01,st04,20.457058948227772,8.984674444188247,0,24.317499668174133,34.53449177242916,50.62167413984965,78.29394901016964,3
srv01,st05,26.816849055642738,10.646172161548096,0,11.024683009661361,43.70617959840268,67.72185611274479,78.65140442561903,3
srv01,st06,15.640531886056543,4.854346230082786,0,24.55441931138274,23.10146726138255,43.51628238600309,58.52531076901292,3
srv01,st07,23.731864894465293,9.489876413269402,1,20.253019459210222,37.261361659997874,59.25550569009761,65.40302876765752,3
srv01,st08,20.574930809852646,5.552048719030064,0,20.364853475793105,32.716355422818225,52.442544284035755,76.76330788205394,3
srv02,st01,16.95736420024255,1.2759025242413446,0,9.225489024053973,26.46984298132141,43.71794950242222,82.30116717766913,3
srv02,st02,19.34697767054473,0.47862415501358174,0,7.2880468638085025,30.171318034652174,50.38106017587822,84.8205196245022,3
srv02,st03,24.906415161855023,3.4013857716072544,0,7.372095427763604,41.29432462035569,63.30736506812273,86.85411698319497,3
srv02,st04,19.623763686521844,12.04866712234296,0,9.311896161479249,31.67700254867927,49.842944808808625,79.35034292607739,3
srv02,st05,22.555733250926796,7.2045289648264275,0,11.030215636713324,36.63670830493002,57.73155699391145,71.81782883094144,3
srv02,st06,25.294406171419904,9.871239296788955,0,8.660480229743753,40.51363052740587,65.70962841599071,81.77559953816036,3
srv02,st07,21.08463470423229,7.212913542196061,0,16.43107235069468,34.461902695577976,54.75542105565297,67.74472024409057,3
srv02,st08,17.185309710916517,5.890241805277777,0,12.143360557881044,25.56890333352172,43.225177703741274,59.83629950518465,3
srv03,st01,28.57237617986492,4.071762538683594,8,17.02179430466579,59.93109345721039,65.44884401697271,90.27666836873011,3
srv03,st02,21.99516783981431,2.3126373980324093,11,15.43417886490665,42.453859347554406,52.57894711639866,64.97072035110348,3
srv03,st03,21.49921284177763,6.157407013683656,8,18.500087604298756,44.44781474148699,52.272564661647415,84.8556523134867,3
srv03,st04,23.19611232973433,5.710583056038177,11,10.77537325741593,49.36014477764866,56.778004403015196,67.47045395749653,3
srv03,st05,18.466253679911066,2.132567260011682,6,17.816305640623835,37.09175658580782,45.36125174704741,81.98064149652282,3
srv03,st06,22.580773568717223,3.963720634516765,0,25.58203405639396,44.327830773401814,56.647349559899425,87.6308705600399,3
srv03,st07,26.850575354535565,11.620090505088271,6,14.812138616347577,55.31349878597265,63.73912563129403,69.07824965211542,3
srv03,st08,25.077284731798603,12.339762731555934,6,8.737930603312703,51.99198497268177,59.17242459680292,78.88288652567665,3
