epoch,qualifier,size_str,rep,host,n_hosts,n_clients,concurrency,total_requests,total_errors,throughput_mibs,throughput_gbps,ops_per_sec,duration_s,total_bytes,total_ops,n_segments,seg_median_mibs,seg_p10_mibs,seg_p90_mibs,seg_min_mibs,seg_max_mibs,seg_std_mibs,ttfb_avg_ms,ttfb_median_ms,ttfb_p99_ms,experiment,operation,rate,size_bytes,excluded
1778284321,get_distributed,512MiB,2,srv01,8,2,64,27747,2,18266.039088319383,153.2266416245887,35.641752577319586,776.0,1.4862984237585102e13,27658,768,19274.75874233246,18393.84975862503,19735.139941596986,0.0,22154.218821525574,3467.2318578697186,4.227649693548387,3.8747018225806453,9.827475911290323,distributed,GET,100gbps,536870912,false
1778285184,get_distributed,2GiB,2,srv01,8,2,64,10664,0,18722.95698942453,157.05954678514252,9.098712446351932,1165.0,2.287179650058638e13,10600,1161,19045.870135307312,18415.638105392456,19740.056686401367,0.0,22971.266463279724,1984.5282530121142,5.851858454545454,5.537112842975207,12.351713008264463,distributed,GET,100gbps,2147483648,false
1778286432,get_distributed,4MiB,3,srv01,8,2,64,2795496,0,18357.44015051741,153.99336930615155,4589.352553542009,607.0,1.1684246896104248e13,2785737,603,18642.125351905823,18122.231078910827,19001.25401992798,0.0,19297.202619552612,1440.2285360499316,2.4968520245901633,2.391622844262295,4.405675163934426,distributed,GET,100gbps,4194304,false
1778287117,get_distributed,64MiB,3,srv01,8,2,64,190329,2,19460.526595612402,163.24672908416696,304.07371794871796,624.0,1.2733244868565023e13,189742,620,19929.949905395508,18623.520443344114,20411.15477552414,0.0,20890.267592430115,1699.6247592982609,3.1298351311475407,2.89958687704918,6.551545770491803,distributed,GET,100gbps,67108864,false
1778287825,get_distributed,512MiB,3,srv01,8,2,64,26861,1,17333.391525581184,145.40302681862252,33.850821744627055,791.0,1.4376724276691303e13,26776,787,18459.221474647522,15113.394846343996,19158.429804039002,0.0,19863.238921165466,3050.2665746467155,4.18275112295082,3.853018590163934,10.750127983606557,distributed,GET,100gbps,536870912,false
1778288699,get_distributed,2GiB,3,srv01,8,2,64,10208,3,15268.364601180569,128.08032544038014,7.420629114850037,1367.0,2.1885725609624953e13,10144,1362,16529.375116348267,7291.29567527771,17951.413394355775,0.0,21439.52843093872,3545.370204947297,6.3822981475409835,5.629856827868853,20.40117106557377,distributed,GET,100gbps,2147483648,false
1774914923,mixed,512MiB,1,srv01,8,2,64,22799,0,19283.18877120475,161.75911159163834,37.6578073089701,602.0,1.2172373147270785e13,22670,598,19654.91459608078,17433.864246082307,21036.972992420197,11429.75196647644,22394.18155479431,1439.181432781109,4.189648860655738,3.693008614754099,21.654121278688525,mixed,MIXED,100gbps,536870912,false
1774915746,mixed,4MiB,1,srv01,8,2,64,2817234,0,18657.697383417533,156.51210953211537,4664.424292845258,601.0,1.1757972228600168e13,2803319,597,18786.03391456604,18521.59172382355,19031.71027107239,18083.527676582336,19368.122493743896,208.64567238095802,2.6937715163934426,2.525016475409836,6.7642304180327875,mixed,MIXED,100gbps,4194304,false
1774916487,mixed,512MiB,2,srv01,8,2,64,21915,0,18547.269209596772,155.58577086977715,36.2109634551495,602.0,1.1707829257950732e13,21799,598,18740.49107694626,16823.404973316192,20405.35556821823,14386.716999053955,21769.634963989258,1427.7354718047177,4.451480672131147,3.736528598360656,40.96810175409836,mixed,MIXED,100gbps,536870912,false
1774917308,mixed,4MiB,2,srv01,8,2,64,2700527,0,17883.95554045003,150.02149251826347,4470.995016611296,602.0,1.1289117311999324e13,2691539,598,18016.76526451111,17761.4705329895,18213.16963710785,17359.38379383087,18398.556754112244,179.56400896774056,2.677921114754098,2.504518426229508,5.096219352459017,mixed,MIXED,100gbps,4194304,false
1774918045,mixed,512MiB,3,srv01,8,2,64,22987,0,19428.06342743892,162.97440829192155,37.897350993377486,604.0,1.2304567826040076e13,22890,600,19711.408315181732,18135.308115673066,20931.889398384097,1504.742359161377,22282.933042526245,1402.6764496153933,4.322473704918032,3.7310409918032788,32.326504795081966,mixed,MIXED,100gbps,536870912,false
1774918863,mixed,4MiB,3,srv01,8,2,64,2842978,0,18812.1322491083,157.80760308192788,4703.031561461794,602.0,1.1875022131915074e13,2831225,597,18969.461488723755,18740.231719970703,19172.95125656128,15890.478435516357,19570.986187934875,214.42735986839847,2.6710704836065573,2.517660327868852,4.927948975409836,mixed,MIXED,100gbps,4194304,false
1774970423,put_1gbps,4MiB,1,srv01,8,2,8,17691,0,232.7045897389122,1.9520675831205567,58.182724252491695,301.0,7.344654281491095e10,17513,297,236.04053401947021,235.68904666900636,236.2353422164917,221.77059745788574,237.14099216461182,1.2620547684278827,,,,throttled,PUT,1gbps,4194304,false
1774971203,put_1gbps,512MiB,1,srv01,8,2,8,144,0,233.2649735820915,1.9567684235105214,0.43312101910828027,314.0,7.680316062278796e10,136,310,235.6901512145996,219.02986249923705,250.53173732757568,110.61499404907227,286.6686820983887,15.286305475567511,,,,throttled,PUT,1gbps,536870912,false
1774972021,put_1gbps,4MiB,2,srv01,8,2,8,17705,0,232.88841175853872,1.953609593984972,58.22923588039867,301.0,7.350456097368457e10,17527,297,236.0552282333374,235.75931682586668,236.21967639923096,235.27853965759277,236.7874174118042,0.20260396331413016,,,,throttled,PUT,1gbps,4194304,false
1774972801,put_1gbps,512MiB,2,srv01,8,2,8,142,0,233.01977719705468,1.9547115671534305,0.432258064516129,310.0,7.574507322719543e10,134,305,237.32544898986816,217.70782089233398,253.45955848693848,171.92139720916748,280.864896774292,15.589669571903071,,,,throttled,PUT,1gbps,536870912,false
1774973617,put_1gbps,4MiB,3,srv01,8,2,8,17705,0,232.8823084759009,1.9535583959394103,58.21926910299003,301.0,7.35026346472203e10,17524,297,236.04607486724854,235.77490997314453,236.24572696685794,234.78958988189697,237.48888683319092,0.23994126641751162,,,,throttled,PUT,1gbps,4194304,false
1774974397,put_1gbps,512MiB,3,srv01,8,2,8,142,0,230.20802027229416,1.931124840520329,0.4267515923566879,314.0,7.579664999042291e10,134,310,238.42381858825684,212.11442470550537,254.1978754043579,70.26924800872803,284.2917375564575,24.415555109542918,,,,throttled,PUT,1gbps,536870912,false
1775122440,put_1gbps,64MiB,1,srv01,8,2,8,1109,0,232.81270112221233,1.9529744871353993,3.642384105960265,302.0,7.372478688936133e10,1100,298,236.17673063278198,228.49671192169188,243.7920065879822,195.21017265319824,264.30813789367676,8.089953493713717,,,,throttled,PUT,1gbps,67108864,false
1775123240,put_1gbps,64MiB,2,srv01,8,2,8,1112,0,232.96502831882873,1.9542523002755532,3.6456953642384105,302.0,7.377302433540213e10,1101,298,236.18375778198242,225.1281714439392,247.67428216934206,206.4570484161377,265.74391174316406,8.80886517695419,,,,throttled,PUT,1gbps,67108864,false
1775124037,put_1gbps,64MiB,3,srv01,8,2,8,1108,0,232.92773315974895,1.9539394458057353,3.6511627906976742,301.0,7.35169716484408e10,1099,297,236.2744436264038,225.68129005432127,245.781990814209,204.75958347320557,264.6515111923218,8.356436777816285,,,,throttled,PUT,1gbps,67108864,false
1774970806,get_1gbps,4MiB,1,srv01,8,2,8,17740,0,218.90769138515762,1.8363308112150643,54.72670807453416,322.0,7.391231515140634e10,17622,318,223.93533754348755,209.70512914657593,236.24416217803957,0.0,237.53879642486572,23.610378886353363,8.29930772580645,8.340734806451612,13.758204451612906,throttled,GET,1gbps,4194304,false
1774971596,get_1gbps,512MiB,1,srv01,8,2,8,155,0,225.5968993881792,1.892443954982875,0.42120343839541546,349.0,8.255786753612793e10,147,345,228.33538436889648,198.1972478866577,263.64992828369145,0.0,300.15195083618164,37.1243515110596,9.527242300000001,11.1863461,11.375177433333333,throttled,GET,1gbps,536870912,false
1774972404,get_1gbps,4MiB,2,srv01,8,2,8,17752,0,218.98539665055034,1.8369826502259798,54.74454828660436,321.0,7.370892884031744e10,17573,317,224.07241439819336,210.33215160369872,236.33552875518797,0.0,238.38543319702148,23.09081102052594,8.412938838709678,8.48667085483871,13.844718290322582,throttled,GET,1gbps,4194304,false
1774973190,get_1gbps,512MiB,2,srv01,8,2,8,157,0,227.08672179329014,1.904941491128968,0.42329545454545453,352.0,8.381742560967459e10,149,345,239.83067512512207,190.45446090698243,273.47460002899174,0.0,299.85007762908936,38.21581479627754,10.017876711864409,12.132412508474575,12.390276440677967,throttled,GET,1gbps,536870912,false
1774974000,get_1gbps,4MiB,3,srv01,8,2,8,17751,0,219.02471555521734,1.8373124811042205,54.757009345794394,321.0,7.372216330430685e10,17577,317,224.44300174713135,208.40376663208008,236.34551334381104,0.0,238.3190746307373,22.938240955079152,8.118900903225805,8.145164806451612,13.580061483870967,throttled,GET,1gbps,4194304,false
1774974790,get_1gbps,512MiB,3,srv01,8,2,8,155,0,226.3430139427545,1.898702817504302,0.4224137931034483,348.0,8.259357256143713e10,147,342,232.91485595703125,194.83468351364135,275.30406351089476,0.0,297.6895866394043,36.85782875487189,9.523575950000001,11.561175100000002,11.889354383333334,throttled,GET,1gbps,536870912,false
1775122823,get_1gbps,64MiB,1,srv01,8,2,8,1228,0,228.39738078407677,1.9159360956243527,3.5718475073313782,341.0,8.166677607598804e10,1218,336,233.93847942352295,214.5924129486084,253.25811195373538,0.0,285.7119903564453,27.433466357723646,9.787208098360654,9.78898481967213,15.598065213114754,throttled,GET,1gbps,67108864,false
1775123621,get_1gbps,64MiB,2,srv01,8,2,8,1228,0,228.99875219573218,1.9209807646591366,3.588235294117647,340.0,8.16416824980133e10,1220,336,234.54788732528687,212.25169038772583,255.59056997299194,0.0,273.2076187133789,28.212393092586424,9.764498639344264,9.702603819672133,15.589070770491803,throttled,GET,1gbps,67108864,false
1775124419,get_1gbps,64MiB,3,srv01,8,2,8,1226,0,228.3556913811404,1.9155863795653654,3.5718475073313782,341.0,8.16518694289737e10,1218,337,233.9223394393921,213.58294372558595,253.60687046051027,0.0,276.5497159957886,27.571443989561264,9.40995341935484,9.496890806451612,15.051376612903224,throttled,GET,1gbps,67108864,false
1774947225,put_10gbps,4MiB,1,srv01,8,2,64,177253,0,2331.4230759756115,19.557394266513622,582.8372093023256,301.0,7.358469592775751e11,175434,297,2362.858841896057,2362.2210653305056,2363.46267414093,2358.9459590911865,2366.870376586914,0.9167954618473599,,,,throttled,PUT,10gbps,4194304,false
1774948008,put_10gbps,512MiB,1,srv01,8,2,64,1413,0,2331.8726704762826,19.56116573853871,4.37987012987013,308.0,7.531048809337402e11,1349,304,2361.225645542145,2352.2587740898134,2372.6874125480654,767.2329425811768,2877.3287744522095,107.6070133939428,,,,throttled,PUT,10gbps,536870912,false
1774949880,put_10gbps,4MiB,2,srv01,8,2,64,177190,0,2330.750645267357,19.55175350889491,582.7408637873754,301.0,7.356347257721711e11,175405,297,2362.7308444976807,2360.12449760437,2363.118276977539,2354.076982498169,2366.4678688049316,1.6872246115187572,,,,throttled,PUT,10gbps,4194304,false
1774950663,put_10gbps,512MiB,2,srv01,8,2,64,1413,0,2330.1048391607465,19.54633609462255,4.37987012987013,308.0,7.525339396429683e11,1349,304,2362.046284198761,2351.209352016449,2378.2309189796447,935.2649831771851,2827.393183708191,125.02258074893588,,,,throttled,PUT,10gbps,536870912,false
1774952535,put_10gbps,4MiB,3,srv01,8,2,64,177244,0,2331.501336056556,19.558050759654712,582.8741721854304,302.0,7.383164161769653e11,176028,298,2362.7857151031494,2361.985626888275,2363.5273008346558,2355.3177213668823,2371.603286743164,1.2219851711446494,,,,throttled,PUT,10gbps,4194304,false
1774953318,put_10gbps,512MiB,3,srv01,8,2,64,1413,0,2338.5607588851162,19.617269490469756,4.394136807817589,307.0,7.528127166967769e11,1349,303,2362.751847267151,2347.1034955978394,2375.6799919128416,1924.28564453125,2880.364604949951,63.99020931432766,,,,throttled,PUT,10gbps,536870912,false
1775124986,put_10gbps,64MiB,1,srv01,8,2,64,11100,0,2330.809555558487,19.552247684234366,36.48172757475083,301.0,7.356533191193181e11,10981,297,2363.7171516418457,2261.179360580444,2463.6340192794796,2199.6869173049927,2517.8389463424683,79.93366817948174,,,,throttled,PUT,10gbps,67108864,false
1775125785,put_10gbps,64MiB,2,srv01,8,2,64,11106,0,2331.7253639533164,19.5599300418617,36.413907284768214,302.0,7.383873590802793e11,10997,298,2361.057319164276,2237.31556930542,2480.51234292984,2167.4603748321533,2571.961462020874,91.39071509014714,,,,throttled,PUT,10gbps,67108864,false
1775126583,put_10gbps,64MiB,3,srv01,8,2,64,11096,0,2328.4787339499744,19.53269533544263,36.36754966887417,302.0,7.373592489129592e11,10983,298,2361.64382314682,2211.670821094513,2513.117733860016,2098.7675457000732,2590.1722898483276,111.18779581577,,,,throttled,PUT,10gbps,67108864,false
1774947618,get_10gbps,4MiB,1,srv01,8,2,64,180863,0,2287.9623443006067,19.192819225098823,572.0479233226837,313.0,7.509190521819915e11,179051,309,2340.9009141921997,2318.393642807007,2365.74012966156,0.0,2379.104112625122,234.97321374118368,11.945309903225807,12.013701193548389,16.904956129032257,throttled,GET,10gbps,4194304,false
1774948394,get_10gbps,512MiB,1,srv01,8,2,64,6467,0,2344.9473971338716,19.67084449517637,4.54113475177305,1410.0,3.466986342274836e12,6403,1406,2362.463709831238,2336.9798374176025,2374.9905109405518,0.0,2868.2570428848267,138.45916069474097,10.892701677419359,10.9474225,12.816072564516128,throttled,GET,10gbps,536870912,false
1774950274,get_10gbps,4MiB,2,srv01,8,2,64,181217,0,2292.855893997663,19.233869295235948,573.2172523961661,313.0,7.525251361761064e11,179417,309,2352.032573699951,2319.581326675415,2366.3658950805666,0.0,2381.365216255188,233.31742071619664,11.752815935483868,11.7154155,16.523707935483873,throttled,GET,10gbps,4194304,false
