client,server,mean_gbps,std_gbps,total_retransmits,mean_cv_pct,mean_host_cpu,mean_remote_cpu,mean_stream_cv_pct,n_reps
srv01,st01,99.27549332753006,6.30541602282617,1,5.472026766885719,208.74326057948937,232.17592601272113,16.401718742606022,3
srv01,st02,101.46657298302291,11.069801678501717,1,4.775550996206634,219.0985979268694,237.85542942978887,12.96041228111801,3
srv01,st03,105.68682441744538,2.6061384018742255,0,6.813978152074001,233.9664206331573,251.69686603292607,12.357122331658134,3
srv01,st04,97.96185326253469,9.089824621900553,0,7.482096268731382,223.37252301980962,233.60347648300785,14.07550474135563,3
srv01,st05,101.27421002316275,4.410110021538408,0,6.590561381188285,212.77653769467972,237.4065954691968,10.96447887837551,3
srv01,st06,107.1860208066653,5.345649170600893,0,4.640171632551097,225.9288291018279,258.0828619931971,10.035282395119966,3
srv01,st07,98.60869797674563,3.4360893646268496,0,6.988462737381883,211.724765842844,230.34360836038604,14.210260089756455,3
srv01,st08,105.65331377325685,3.704112117820638,0,4.988625974935435,226.2705745001672,249.48044359168512,10.335750307390997,3
srv02,st01,109.34020240157913,2.1817312167098115,1,2.9416844016551345,240.74075298959522,256.81171107879965,7.225980535047051,3
srv02,st02,112.73240339257866,4.015980213014722,9,3.432889895860336,243.87318340106637,261.6701983289421,7.028857250080519,3
srv02,st03,110.90426354198182,4.269361472885777,0,4.255502582717281,235.64590783426084,261.10983292284794,9.17868623099737,3
srv02,st04,108.14816685487011,2.6023265297951537,0,3.3831465153859206,237.13376009197955,257.13756941499645,5.75832135069091,3
srv02,st05,109.4786610545555,3.683468339812761,0,3.745440034179207,238.08013975131777,256.6848568966157,7.928868810013164,3
srv02,st06,110.22517780697535,0.4105715305590514,0,4.6015330169362025,237.05289515064342,261.0771370267998,6.302425372247922,3
srv02,st07,105.3362372224205,3.2840533504303626,1,4.9763329247216275,232.38828527184447,248.66709435156847,10.065787743355523,3
srv02,st08,109.22159127299848,3.9656514848772755,0,4.210901443381757,240.40809092891016,254.0351970021156,6.801045575933604,3
srv03,st01,109.51620205357466,3.9352503995893366,3,8.119422804208263,281.68702683413034,256.69527451020934,8.894373090020647,3
srv03,st02,109.07433807908745,2.5851374114362287,3,4.573646776030209,284.3616621792949,253.988522320897,5.930066742074146,3
srv03,st03,108.75812139187212,3.153790209784703,6,5.455032908151254,276.2568076713298,256.47965145814476,10.887352309134664,3
srv03,st04,109.7635933611074,7.5526363644276415,2,7.589875324501912,284.48770449986836,259.4415065047458,13.408305799539471,3
srv03,st05,107.99793466206036,3.728631179233784,7,7.081792348552578,277.0493817786394,256.0041890212381,8.82260944702297,3
srv03,st06,110.97502896853068,4.52469908122124,0,5.190485194628365,278.38802651226564,265.4707968684448,6.76148032192492,3
srv03,st07,110.78399172904192,3.1805626533097318,1,4.253628145029517,285.4251694313985,258.02162570325714,7.0775938603227795,3
srv03,st08,110.9670224229035,3.5595646580801805,4,5.218897703143171,291.2990730705012,262.4218727801495,6.785200381676653,3
