epoch,rep,client,server,sent_gbps,recv_gbps,retransmits,duration_s,n_intervals,n_streams,mean_gbps,std_gbps,cv_pct,min_gbps,max_gbps,p10_gbps,p90_gbps,stream_cv_pct,host_cpu_total,host_cpu_user,host_cpu_system,remote_cpu_total,tcp_cc,mode
1775004207,1,srv01,st01,102.16058699695255,102.16109904898673,0,120.001577,120,8,102.15191639104589,5.124676091851212,5.016720461937819,78.58296168127279,116.04357359897658,96.92066150145624,108.14406988174292,16.88100100045396,209.48176654987432,4.278556250035936,205.20321029983836,233.52446570112716,bbr,per-pair
1775004392,2,srv01,st01,103.62219921747219,103.62273535501569,1,120.001613,120,8,103.6139151696191,6.989062559139457,6.745293378498583,77.58526689697459,113.60231466283538,97.99348880374934,109.88092803880959,14.06167285538038,227.59828964049348,4.407311939551174,223.19097853424287,243.6402443923232,bbr,per-pair
1775004578,3,srv01,st01,92.04369376816541,92.0441649544137,0,120.00158,120,8,92.03965031396837,4.283586495366867,4.654066460220753,60.44613925875416,100.9381690304436,88.40401750614718,96.59672169116266,18.262482371983726,189.1497255481003,3.6214254632795284,185.52830091812064,219.36306794471307,bbr,per-pair
1775004764,1,srv01,st02,93.76087523273547,93.76108966897377,0,120.001581,120,8,93.75596492575343,4.513884311212971,4.814503604957375,79.88812877604944,102.56882019085629,88.69490637505265,99.00555702743377,20.971731266497194,200.79351607732914,4.098275495533295,196.69524141509268,217.5482955084985,bbr,per-pair
1775004949,2,srv01,st02,96.48725474939481,96.48747181563158,1,120.000815,120,8,96.48206664749175,4.868192897546733,5.045697160834283,82.79978157634399,105.61852980226551,90.24597513003008,102.34630398552869,11.397513206745046,206.7491108930112,4.266594418034888,202.4825164749763,226.77678581160671,bbr,per-pair
1775005134,3,srv01,st02,114.15158896693845,114.15188368126827,0,120.000527,120,8,114.13940560711846,5.097982018862087,4.466452222828243,93.01909424534934,124.37318689502119,108.84871097502604,119.8330629432527,6.511992370111794,249.75316681026777,4.931168964801056,244.82199867877426,269.2412069692613,bbr,per-pair
1775005320,1,srv01,st03,108.66625888655918,108.66611400029554,0,120.001564,120,8,108.6573144993986,10.029939426686404,9.230800036698788,77.35741528093708,121.54998279610679,98.18917415454416,117.58762842712537,6.20676898920338,243.5134444511247,4.579214289127831,238.93422849540084,260.5366924382956,bbr,per-pair
1775005505,2,srv01,st03,103.83079440271834,103.83064635912906,0,120.000536,120,8,103.82299663634015,6.952995465661001,6.696970508388612,69.02855803431963,112.55557410849877,99.07920164732467,109.96041624055728,15.702893748016844,232.5830369667546,4.17769816763386,228.4053379658131,248.36581945101085,bbr,per-pair
1775005690,3,srv01,st03,104.56341996305862,104.56324656371416,0,120.00095,120,8,104.55690934877113,4.719870268419946,4.5141639111346015,89.76378716258164,114.88834531923797,100.07674403481712,110.17446046444397,15.161704257754183,225.8027804815925,4.53235353970885,221.270427775187,246.1880862094717,bbr,per-pair
1775005876,1,srv01,st04,94.79630495210165,94.79616354989473,0,120.001757,120,8,94.79022807576453,6.12007628658367,6.4564421996030825,76.91006897017728,109.33617888404976,88.37350730036496,103.03085819562791,11.499367395168399,247.410151184669,4.935688655800902,242.47446336216373,227.94277372420436,bbr,per-pair
1775006061,2,srv01,st04,90.87806007089205,90.87790697913873,0,120.001614,120,8,90.8712719563984,8.967077078710679,9.867889912461262,56.65539813767432,104.76638748423483,84.67009864825391,98.55895357698247,15.990435871724252,200.21510626847805,3.9305929506811434,196.2845116511979,218.0187993052603,bbr,per-pair
1775006247,3,srv01,st04,108.21119476461037,108.21106040315168,0,120.000543,120,8,108.20445468953613,6.6242298572127085,6.121956694129804,66.91647587754102,117.90691852326286,103.83236942367465,114.39704442373232,14.73671095717424,222.4923116062819,4.65215161486163,217.8401591581143,254.84885641955896,bbr,per-pair
1775006432,1,srv01,st05,104.45441252558403,104.45424104748716,0,120.000664,120,8,104.44694431745562,11.88981363595369,11.383591653783416,57.345202190826754,118.50679674442829,88.50692516857643,112.6219382784,7.608300249870317,222.4074912393673,4.25985179265638,218.14763861340657,246.7279047818181,bbr,per-pair
1775006618,2,srv01,st05,103.12849615358743,103.12840484117352,0,120.000648,120,8,103.12336180392137,4.275960275314866,4.146451590130636,92.24608676758554,112.90966273884814,97.08080874008922,107.82141689065975,8.539049762783577,220.20778765598678,4.172848417416255,216.03493757195608,240.60877340749087,bbr,per-pair
1775006804,3,srv01,st05,96.2397213903168,96.23964680538917,0,120.001285,120,8,96.23537432079517,4.081958997122897,4.241640899650806,80.94515526082183,103.6619144234207,92.12716678936759,100.6247576971867,16.746086622472642,195.71433418868506,3.8456562363354,191.86867628574458,224.8831082182814,bbr,per-pair
1775006989,1,srv01,st06,101.8181740656107,101.81806410681722,0,120.002417,120,8,101.81487160561603,6.565499065611591,6.44846765710545,74.06934771482955,114.27247282364806,95.6894409694605,108.32919578820368,10.32679798037221,211.72391953939314,4.524132555664616,207.19978781702116,248.09545305499353,bbr,per-pair
1775007174,2,srv01,st06,107.23069597390474,107.2306119772472,0,120.000936,120,8,107.22597376497578,3.2520303162395,3.0328755263789837,98.8172340968747,115.51034801860334,102.75059866867268,111.06284086884206,9.581985651638048,231.38742602058363,4.360219788052842,227.0272053992263,259.86465349167383,bbr,per-pair
1775007359,3,srv01,st06,112.50919238048046,112.509117375391,0,120.001582,120,8,112.50376187683429,4.9942351746123155,4.439171714168858,97.24062230926945,121.32479908007758,105.18506947245928,117.60386291337811,10.197063553349642,234.67514174550695,4.485251605889101,230.18989013961786,266.2884794329239,bbr,per-pair
1775007545,1,srv01,st07,98.26721405735313,98.2671673810912,0,120.001652,120,8,98.25921997127942,7.670174115624065,7.806060457090959,63.23639914059866,107.80158635307944,92.00789586321504,104.95599609580621,17.920097298178195,217.530496604048,4.19220409188834,213.33829251215968,231.9019009653954,bbr,per-pair
1775007730,2,srv01,st07,102.20277919384816,102.20279971152677,0,120.001489,120,8,102.19822373462539,5.168797101330251,5.057619313180911,84.62834003133796,109.59779886114379,97.13965294199464,107.62175193610058,16.416273652750576,212.75821673696132,4.4690805056466845,208.28913706461555,235.44301621333986,bbr,per-pair
1775007916,3,srv01,st07,95.35610067903559,95.35615074056838,0,120.00107,120,8,95.35140452143543,7.7250927895583485,8.101708441873777,51.58226534466884,106.23819728444722,91.56027278241822,100.55622729759381,8.294409318340598,204.88558418752265,3.812802955768592,201.0727787318483,223.68590790242285,bbr,per-pair
1775008101,1,srv01,st08,106.85490616876316,106.85487152432366,0,120.000603,120,8,106.85053892261654,4.398938318913603,4.116907938198992,91.7679682349345,116.1926490957877,102.43160592285602,111.20517829005361,13.881669875005828,213.0767111933045,4.21339270681329,208.86331848649124,249.62658491132558,bbr,per-pair
1775008287,2,srv01,st08,101.4975803935437,101.49741772561427,0,120.001614,120,8,101.49239124273855,5.316446596231237,5.238271097107106,78.25599107725475,113.28916921699941,95.55803277504441,107.702314962695,12.40448700990844,219.589139475507,4.3638966744100225,215.22524113449717,241.266873138647,bbr,per-pair
1775008472,3,srv01,st08,108.60745475746371,108.60730904468767,0,120.001672,120,8,108.59702207987705,6.093051911865957,5.610698889500208,86.76393714914501,118.7209969684023,102.47221330917944,114.05090374961445,4.721094037258721,246.14587283169018,4.36028861199374,241.78558421969646,257.54787272508275,bbr,per-pair
