condition,overall_mean_ms,overall_std_ms,worst_max_ms,overall_p95_ms,overall_p99_ms,max_packet_loss
100pct,0.07192852777777775,0.026970714600909725,2.59,0.1726340277777778,0.3492209722222219,0.0
50pct,0.047314499999999995,0.010887579271553718,4.67,0.08110069444444447,0.12198638888888885,0.0
idle,0.05335386111111112,0.005963989054754118,0.838,0.0754833333333333,0.08916888888888884,0.0
