client,server,condition,repetition,n_pings,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,mdev_ms,packet_loss
srv01,st03,100pct,2,500,0.07194800000000001,0.055910439548451075,0.03,0.665,0.055,0.15320000000000003,0.26271999999999934,0.055,0.0
srv01,st03,100pct,3,500,0.057315999999999985,0.03616196232283414,0.029,0.599,0.048,0.10805000000000002,0.182,0.036,0.0
srv01,st04,idle,1,500,0.046161999999999995,0.04013608808957678,0.026,0.831,0.042,0.056050000000000016,0.0983099999999988,0.04,0.0
srv01,st04,idle,2,500,0.045878,0.011517657264292746,0.029,0.233,0.045,0.057,0.06603999999999997,0.011,0.0
srv01,st04,idle,3,500,0.052163999999999995,0.016136600750081633,0.028,0.247,0.0505,0.06905000000000001,0.08104999999999996,0.016,0.0
srv01,st04,50pct,1,500,0.08986599999999999,0.07621260240623634,0.026,0.428,0.0595,0.25205,0.35402,0.076,0.0
srv01,st04,50pct,2,500,0.04087599999999999,0.009617359888370865,0.027,0.136,0.039,0.055,0.06803999999999998,0.009,0.0
srv01,st04,50pct,3,500,0.04723999999999999,0.021439068714257836,0.027,0.309,0.041,0.08705,0.12100999999999998,0.021,0.0
srv01,st04,100pct,1,500,0.104588,0.08706182733873162,0.03,0.493,0.0695,0.31395000000000023,0.40301000000000003,0.086,0.0
srv01,st04,100pct,2,500,0.04323399999999999,0.011715705677381887,0.028,0.134,0.04,0.06410000000000002,0.08205999999999995,0.011,0.0
srv01,st04,100pct,3,500,0.094612,0.07833478239112258,0.033,0.534,0.061,0.28010000000000007,0.3801299999999999,0.078,0.0
srv01,st05,idle,1,500,0.05862,0.013498741869675418,0.029,0.138,0.057,0.081,0.09400999999999998,0.013,0.0
srv01,st05,idle,2,500,0.063456,0.01785816036952203,0.026,0.237,0.0625,0.091,0.10102999999999998,0.017,0.0
srv01,st05,idle,3,500,0.05893199999999999,0.011817388770566425,0.031,0.147,0.058,0.079,0.08601999999999997,0.011,0.0
srv01,st05,50pct,1,500,0.055661999999999996,0.023083966188460335,0.032,0.244,0.049,0.09810000000000003,0.14100999999999997,0.023,0.0
srv01,st05,50pct,2,500,0.04489199999999999,0.013668283724005727,0.028,0.135,0.041,0.07105000000000002,0.10110999999999991,0.013,0.0
srv01,st05,50pct,3,500,0.059478,0.018121984677659197,0.034,0.2,0.055,0.09110000000000001,0.13601000000000002,0.018,0.0
