server,mean_total_gbps,std_total_gbps,mean_retransmits,mean_remote_cpu,n_reps
st05,352.283887071616,10.941112882284731,3.0,264.74946449182676,3
st06,343.29673037529955,10.467141683660538,21.0,254.78572990708093,3
st07,339.23983272657864,18.670415169237305,129.33333333333334,250.4659595477391,3
st08,343.7345298612913,13.740808901827968,46.0,253.5860583440937,3
