repetition,client,target,scenario,description,n_links_down,baseline_gbps,trough_gbps,recovery_gbps,recovery_time_s,throughput_loss_pct
1,srv01,failover_rep1_srv01_st08,3,2 links asymmetric (2 links to same switch),2,13.983697107421738,15.736902917003897,22.682326963632118,0.001036999999996624,-12.537498460629969
1,srv01,failover_rep1_srv01_st08,4,3 links disconnected (1 remaining),3,20.83086369663148,8.77340924520292,23.261241608532625,1.0010369999999966,57.88264292362657
1,srv01,failover_rep1_srv01_st08,5,Full switch disconnect (both Switch B ports),2,13.862838830058614,14.406602056500295,NaN,7.200000004559115e-5,-3.9224521983379557
2,srv01,failover_rep2_srv01_st01,1,1 link disconnected (one port to one switch),1,13.528321321101389,0.0,0.0,219.00003299999997,100.0
2,srv01,failover_rep2_srv01_st01,2,2 links symmetric (1 link per switch),2,0.0,0.0,0.0,0.000876000000005206,NaN
2,srv01,failover_rep2_srv01_st01,3,2 links asymmetric (2 links to same switch),2,11.539941242855143,0.0,0.0,213.00102900000002,100.0
2,srv01,failover_rep2_srv01_st01,4,3 links disconnected (1 remaining),3,0.0,0.0,0.0,0.001021999999977652,NaN
2,srv01,failover_rep2_srv01_st01,5,Full switch disconnect (both Switch B ports),2,12.819196692559537,NaN,NaN,NaN,NaN
2,srv01,failover_rep2_srv01_st02,1,1 link disconnected (one port to one switch),1,12.477895131166486,0.0,0.0,214.00104199999998,100.0
2,srv01,failover_rep2_srv01_st02,2,2 links symmetric (1 link per switch),2,0.0,0.0,0.0,0.0007009999999922911,NaN
2,srv01,failover_rep2_srv01_st02,3,2 links asymmetric (2 links to same switch),2,11.033063427584644,0.0,0.0,215.00104399999998,100.0
2,srv01,failover_rep2_srv01_st02,4,3 links disconnected (1 remaining),3,0.0,0.0,0.0,0.0010470000000282198,NaN
2,srv01,failover_rep2_srv01_st02,5,Full switch disconnect (both Switch B ports),2,13.997254162464273,NaN,NaN,NaN,NaN
2,srv01,failover_rep2_srv01_st03,1,1 link disconnected (one port to one switch),1,12.16968795089978,11.85094661679708,19.166937001732002,0.0010570000000029722,2.6191413895631843
2,srv01,failover_rep2_srv01_st03,2,2 links symmetric (1 link per switch),2,18.30912398305995,14.7399505603153,18.243426806577297,0.001027999999990925,19.49396063977139
2,srv01,failover_rep2_srv01_st03,3,2 links asymmetric (2 links to same switch),2,11.90409854411506,6.511728763916772,17.113126573158656,1.0010320000000092,45.29843028613093
2,srv01,failover_rep2_srv01_st03,4,3 links disconnected (1 remaining),3,14.067353556353746,15.092956673551686,32.01516248348655,4.200000000764703e-5,-7.29066141040231
2,srv01,failover_rep2_srv01_st03,5,Full switch disconnect (both Switch B ports),2,11.646214657768915,NaN,NaN,NaN,NaN
2,srv01,failover_rep2_srv01_st04,1,1 link disconnected (one port to one switch),1,14.209478316526408,10.69322890433018,15.601123173710615,0.0007960000000011291,24.745802300895427
2,srv01,failover_rep2_srv01_st04,2,2 links symmetric (1 link per switch),2,16.350511038282626,0.0,1.5882994328412992,0.00011399999999639476,100.0
2,srv01,failover_rep2_srv01_st04,3,2 links asymmetric (2 links to same switch),2,13.33076415079848,14.271361792243274,17.742762396666468,0.0010260000000243963,-7.0558418917677335
2,srv01,failover_rep2_srv01_st04,4,3 links disconnected (1 remaining),3,15.200568233135607,0.0,0.0,0.0010419999999840002,100.0
2,srv01,failover_rep2_srv01_st04,5,Full switch disconnect (both Switch B ports),2,11.935891733748983,NaN,NaN,NaN,NaN
2,srv01,failover_rep2_srv01_st05,1,1 link disconnected (one port to one switch),1,12.27053136869737,11.668378464632521,18.435664677445754,0.0010309999999975616,4.9073091129612
2,srv01,failover_rep2_srv01_st05,2,2 links symmetric (1 link per switch),2,19.48593271497738,14.621343744,20.859328937021694,0.0010350000000016735,24.96461956495587
2,srv01,failover_rep2_srv01_st05,3,2 links asymmetric (2 links to same switch),2,12.517045179163963,0.0,2.46121700605616,79.00101999999998,100.0
2,srv01,failover_rep2_srv01_st05,4,3 links disconnected (1 remaining),3,17.266703358373352,0.0,0.0,106.00102900000002,100.0
2,srv01,failover_rep2_srv01_st05,5,Full switch disconnect (both Switch B ports),2,12.026404927488086,NaN,NaN,NaN,NaN
2,srv01,failover_rep2_srv01_st06,1,1 link disconnected (one port to one switch),1,12.909403241377559,10.736816673704777,15.304151729403372,0.0010320000000021423,16.82948876141037
2,srv01,failover_rep2_srv01_st06,2,2 links symmetric (1 link per switch),2,17.046846616403418,6.26006774888617,18.405350478406653,1.0010139999999978,63.27726828454955
2,srv01,failover_rep2_srv01_st06,3,2 links asymmetric (2 links to same switch),2,15.52894339065078,9.22015624620689,16.55466324439414,1.0010310000000118,40.62599100104971
2,srv01,failover_rep2_srv01_st06,4,3 links disconnected (1 remaining),3,12.432489248031779,0.0,0.0,2.0010280000000193,100.0
2,srv01,failover_rep2_srv01_st06,5,Full switch disconnect (both Switch B ports),2,12.559663239182788,NaN,NaN,NaN,NaN
2,srv01,failover_rep2_srv01_st07,1,1 link disconnected (one port to one switch),1,12.046056349027216,10.359081357587124,17.343944308689682,0.0010199999999969123,14.004375727300367
2,srv01,failover_rep2_srv01_st07,2,2 links symmetric (1 link per switch),2,16.99537224402235,0.0,0.0,0.0007080000000030395,100.0
2,srv01,failover_rep2_srv01_st07,3,2 links asymmetric (2 links to same switch),2,14.231348530715328,0.0,9.231393903940093,1.0010310000000118,100.0
2,srv01,failover_rep2_srv01_st07,4,3 links disconnected (1 remaining),3,12.904465465963662,0.0,0.0,0.0007209999999986394,100.0
2,srv01,failover_rep2_srv01_st07,5,Full switch disconnect (both Switch B ports),2,13.928446698679926,NaN,NaN,NaN,NaN
2,srv01,failover_rep2_srv01_st08,1,1 link disconnected (one port to one switch),1,13.365326446719338,10.999987401290014,16.5065601803276,0.0010559999999983916,17.69757779474157
2,srv01,failover_rep2_srv01_st08,2,2 links symmetric (1 link per switch),2,15.989101691590319,15.282842164032438,18.638623496301612,0.0010069999999871015,4.417130750562103
2,srv01,failover_rep2_srv01_st08,3,2 links asymmetric (2 links to same switch),2,14.523652460069629,0.0,2.0901096439266937,79.00103000000001,100.0
2,srv01,failover_rep2_srv01_st08,4,3 links disconnected (1 remaining),3,12.99327124947932,0.0,0.0,107.001033,100.0
2,srv01,failover_rep2_srv01_st08,5,Full switch disconnect (both Switch B ports),2,12.4364598266776,NaN,NaN,NaN,NaN
3,srv01,failover_rep3_srv01_st01,1,1 link disconnected (one port to one switch),1,13.222053756386721,5.99267792041616,11.757891204529631,1.0010369999999966,54.676648342006
3,srv01,failover_rep3_srv01_st01,2,2 links symmetric (1 link per switch),2,11.362302984067236,9.015063988596916,17.081080751025077,1.0010859999999866,20.658127131108284
3,srv01,failover_rep3_srv01_st01,3,2 links asymmetric (2 links to same switch),2,15.485676888300823,5.785057583015915,24.047855167642357,1.0010260000000244,62.642526866962896
3,srv01,failover_rep3_srv01_st01,4,3 links disconnected (1 remaining),3,13.559739356302286,0.0,NaN,2.0010160000000496,100.0
3,srv01,failover_rep3_srv01_st01,5,Full switch disconnect (both Switch B ports),2,NaN,NaN,NaN,NaN,NaN
3,srv01,failover_rep3_srv01_st02,1,1 link disconnected (one port to one switch),1,15.223754492392551,9.56818870359832,15.697505379051396,0.001044000000000267,37.14961241407544
3,srv01,failover_rep3_srv01_st02,2,2 links symmetric (1 link per switch),2,10.799483216569406,13.658710269871314,21.645815735709995,7.999999999697138e-5,-26.475591433070235
3,srv01,failover_rep3_srv01_st02,3,2 links asymmetric (2 links to same switch),2,10.747080701537328,9.195892030302629,27.76818700458265,0.001025000000026921,14.433581679653784
3,srv01,failover_rep3_srv01_st02,4,3 links disconnected (1 remaining),3,13.080346997427363,11.415938091353253,NaN,0.0010469999999713764,12.724501165003232
3,srv01,failover_rep3_srv01_st02,5,Full switch disconnect (both Switch B ports),2,NaN,NaN,NaN,NaN,NaN
3,srv01,failover_rep3_srv01_st03,1,1 link disconnected (one port to one switch),1,15.314284656089159,0.0,0.0,107.00106199999999,100.0
3,srv01,failover_rep3_srv01_st03,2,2 links symmetric (1 link per switch),2,16.849753209312954,0.0,0.0,122.00103999999999,100.0
3,srv01,failover_rep3_srv01_st03,3,2 links asymmetric (2 links to same switch),2,10.82728256862338,0.0,0.0,107.00104599999997,100.0
3,srv01,failover_rep3_srv01_st03,4,3 links disconnected (1 remaining),3,12.82335870734367,0.0,NaN,NaN,100.0
3,srv01,failover_rep3_srv01_st03,5,Full switch disconnect (both Switch B ports),2,NaN,NaN,NaN,NaN,NaN
3,srv01,failover_rep3_srv01_st04,1,1 link disconnected (one port to one switch),1,12.99450739763968,0.0,0.0,107.00104200000001,100.0
3,srv01,failover_rep3_srv01_st04,2,2 links symmetric (1 link per switch),2,13.662335527360945,0.0,0.0,0.0010460000000023228,100.0
3,srv01,failover_rep3_srv01_st04,3,2 links asymmetric (2 links to same switch),2,12.466626844734842,0.0,0.0,107.00104099999999,100.0
3,srv01,failover_rep3_srv01_st04,4,3 links disconnected (1 remaining),3,12.122679885960551,0.0,NaN,0.0010429999999814754,100.0
3,srv01,failover_rep3_srv01_st04,5,Full switch disconnect (both Switch B ports),2,NaN,NaN,NaN,NaN,NaN
3,srv01,failover_rep3_srv01_st05,1,1 link disconnected (one port to one switch),1,13.468496468373779,8.885420727498646,13.750780122682093,0.0010389999999986799,34.02811703323337
3,srv01,failover_rep3_srv01_st05,2,2 links symmetric (1 link per switch),2,13.816852471673174,0.0,0.0,7.299999998622297e-5,100.0
3,srv01,failover_rep3_srv01_st05,3,2 links asymmetric (2 links to same switch),2,13.9001188089291,0.0,0.0,0.0010229999999751271,100.0
3,srv01,failover_rep3_srv01_st05,4,3 links disconnected (1 remaining),3,12.542915723774728,0.0,NaN,0.0010240000000294458,100.0
3,srv01,failover_rep3_srv01_st05,5,Full switch disconnect (both Switch B ports),2,NaN,NaN,NaN,NaN,NaN
3,srv01,failover_rep3_srv01_st06,1,1 link disconnected (one port to one switch),1,13.215183011955821,9.714818056097227,11.93931217640945,0.0010359999999991487,26.487449721216883
3,srv01,failover_rep3_srv01_st06,2,2 links symmetric (1 link per switch),2,11.303439898536242,9.776961668405924,16.859323329382768,0.0010350000000016735,13.504545906666799
3,srv01,failover_rep3_srv01_st06,3,2 links asymmetric (2 links to same switch),2,13.973017621879967,0.0,0.0,107.00103100000001,100.0
3,srv01,failover_rep3_srv01_st06,4,3 links disconnected (1 remaining),3,16.61631811204772,0.0,NaN,0.001036999999996624,100.0
3,srv01,failover_rep3_srv01_st06,5,Full switch disconnect (both Switch B ports),2,NaN,NaN,NaN,NaN,NaN
3,srv01,failover_rep3_srv01_st07,1,1 link disconnected (one port to one switch),1,14.684431606649717,9.624879104,14.15428578242516,0.0010309999999975616,34.4552151433532
3,srv01,failover_rep3_srv01_st07,2,2 links symmetric (1 link per switch),2,15.65790517538967,0.0,0.0,0.00026700000000801083,100.0
3,srv01,failover_rep3_srv01_st07,3,2 links asymmetric (2 links to same switch),2,10.121848689447594,0.0,0.0,0.0010740000000168948,100.0
3,srv01,failover_rep3_srv01_st07,4,3 links disconnected (1 remaining),3,13.11401770230097,0.0,NaN,0.0010399999999890497,100.0
3,srv01,failover_rep3_srv01_st07,5,Full switch disconnect (both Switch B ports),2,NaN,NaN,NaN,NaN,NaN
3,srv01,failover_rep3_srv01_st08,1,1 link disconnected (one port to one switch),1,16.02747461438589,10.925200603821947,17.620203019748747,0.0010219999999989682,31.834547446322336
3,srv01,failover_rep3_srv01_st08,2,2 links symmetric (1 link per switch),2,12.353602302377388,7.655745095911353,20.137288496011337,1.0010289999999884,38.028237363298935
3,srv01,failover_rep3_srv01_st08,3,2 links asymmetric (2 links to same switch),2,14.941951932236682,0.0,0.0,106.00102600000002,100.0
3,srv01,failover_rep3_srv01_st08,4,3 links disconnected (1 remaining),3,14.86368514478633,0.0,NaN,NaN,100.0
3,srv01,failover_rep3_srv01_st08,5,Full switch disconnect (both Switch B ports),2,NaN,NaN,NaN,NaN,NaN
