client,server,perpair_gbps,fullmesh_gbps,degradation_pct,pp_retransmits,fm_retransmits
srv01,st01,99.27549332753006,13.78961990386008,86.10974426652777,1,0
srv01,st02,101.46657298302291,26.60906578670595,73.7755351300195,1,2
srv01,st03,105.68682441744538,12.404313079884439,88.2631414575487,0,0
srv01,st04,97.96185326253469,18.67014397225674,80.9414140806204,0,0
srv01,st05,101.27421002316275,19.274965810769945,80.96754760529704,0,0
srv01,st06,107.1860208066653,35.69936975584636,66.69400590937282,0,0
srv01,st07,98.60869797674563,17.043217880823565,82.71631384399501,0,0
srv01,st08,105.65331377325685,25.19786359928032,76.15042756410122,0,2
srv02,st01,109.34020240157913,22.56159893620148,79.36568760560878,1,0
srv02,st02,112.73240339257866,27.07309820576987,75.984634948755,9,0
srv02,st03,110.90426354198182,19.50035266217775,82.41694950276094,0,0
srv02,st04,108.14816685487011,17.973889634975105,83.38031040406331,0,0
srv02,st05,109.4786610545555,19.660986393727086,82.04126155330891,0,0
srv02,st06,110.22517780697535,22.41495195843352,79.66439936464766,0,0
srv02,st07,105.3362372224205,19.7725598765918,81.22909988246356,1,0
srv02,st08,109.22159127299848,19.740191781086427,81.92647483797779,0,0
srv03,st01,109.51620205357466,26.28435056638983,75.99957807746868,3,10
srv03,st02,109.07433807908745,17.28337136434553,84.15450263671211,3,8
srv03,st03,108.75812139187212,25.126380741938423,76.8970073955174,6,5
srv03,st04,109.7635933611074,30.665250403853804,72.06245762839663,2,8
srv03,st05,107.99793466206036,21.570825124446234,80.02663181296553,7,8
srv03,st06,110.97502896853068,25.156773594933053,77.33114032160624,0,0
srv03,st07,110.78399172904192,21.47907636561356,80.61175082213359,1,9
srv03,st08,110.9670224229035,24.084352571129845,78.29593689615047,4,7
